Unnamed: 0,budget,popularity,runtime,vote_average,cast,Story,year
1480,30000000,24.389194,98.0,5.6,Martin Lawrence,"Big Momma's House When a street-smart FBI agent is sent to Georgia to protect a beautiful single mother and her son from an escaped convict, he is forced to impersonate a crass Southern granny known as Big Momma in order to remain incognito. \u7edd\u5730\u5976\u9738 \u5367\u5e95\u80a5\u5988 big\u7206\u4efb\u52a1 \u8d85\u7ea7\u5988\u5988 Crime Comedy Raja Gosnell",2000
1481,34000000,12.867326,85.0,6.3,Brianne Siddall,"Thunder and the House of Magic Thunder, an abandoned young cat seeking shelter from a storm, stumbles into the strangest house imaginable, owned by an old magician and inhabited by a dazzling array of automatons and gizmos. Not everyone welcomes the new addition to the troupe as Jack Rabbit and Maggie Mouse plot to evict Thunder. The situation gets worse when the magician lands in hospital and his scheming nephew sees his chance to cash in by selling the mansion. Our young hero is determined to earn his place and so he enlists the help of some wacky magician's assistants to protect his magical new home. magic 3d Family Fantasy Animation Adventure Ben Stassen",2013
1482,30000000,23.328823,89.0,4.8,Emile Hirsch,"The Darkest Hour In Moscow, five young people lead the charge against an alien race which has attacked Earth via our power supply. alien invasion american abroad moscow unlikely heroes failed business Horror Action Thriller Science Fiction Chris Gorak",2011
1483,33000000,29.775441,99.0,6.7,Kathryn McCormick,"Step Up Revolution Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean, the leader of a dance crew whose neighborhood is threatened by Emily's father's development plans. flash mob dance instructor real estate development nike dance company Music Drama Romance Scott Speer",2012
1484,33000000,19.642328,105.0,5.1,Samuel L.,"Snakes on a Plane America is on the search for the murderer Eddie Kim. Sean Jones must fly to L.A. to testify in a hearing against Kim. Accompanied by FBI agent Neville Flynn, the flight receives some unexpected visitors. snake suspense fbi agent death animal attack Action Crime Horror Thriller David R. Ellis",2006
1485,33000000,7.339908,96.0,4.9,James Spader,"The Watcher FBI agent Joel Campbell, burnt-out and shell-shocked after years spent chasing serial killers, flees L.A. to begin a new life for himself in Chicago. But five months later, Joel's best laid plans are abruptly cut short when his new hometown becomes the setting for some particularly gruesome murders--murders that could only have been committed by one man: David Allen Griffin. One of Joel's most elusive and cunning nemeses, Griffin has followed his former pursuer to Chicago in order to play a sadistic game of cat and mouse. Taunting Joel with photographs of his intended victims and leaving his crime scenes meticulously free of clues in order to keep the police at bay, Griffin derives as much pleasure out of watching Joel react to every movement as watching his victims die. But when Griffin moves into Joel's inner circle, Joel must quickly find some way to stop him before someone close to him becomes the next one to die. chicago fbi menace covered investigation state of emergency Mystery Thriller Joe Charbanic",2000
1486,33000000,35.099611,124.0,6.1,Thomas Jane,"The Punisher When undercover FBI agent Frank Castle's wife and son are slaughtered, he becomes 'the Punisher' -- a ruthless vigilante willing to go to any length to avenge his family. chain submachine gun undercover smuggling twin brother Action Crime Drama Jonathan Hensleigh",2004
1487,30000000,16.541791,118.0,6.6,Kuno Becker,"Goal!: The Dream Begins Like millions of kids around the world, Santiago harbors the dream of being a professional footballer...However, living in the Barrios section of Los Angeles, he thinks it is only that--a dream. Until one day an extraordinary turn of events has him trying out for Premiership club Newcastle United. restaurant sport coach athlete newcastle united Drama Danny Cannon",2005
1488,30000000,31.92695,94.0,6.3,Jason Statham,"Safe After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police. broken trachea Action Crime Thriller Boaz Yakin",2012
1489,33000000,9.060642,124.0,5.7,John Cusack,"Pushing Tin Two air traffic controllers (John Cusack, Billy Bob Thornton) who thrive on living dangerously compete to outdo each other on several levels. competition airport air controller adversary Comedy Drama Mike Newell",1999
1490,32350000,46.509071,135.0,7.9,Mark Hamill,"Return of the Jedi As Rebel leaders map their strategy for an all-out attack on the Emperor's newer, bigger Death Star. Han Solo remains frozen in the cavernous desert fortress of Jabba the Hutt, the most loathsome outlaw in the universe, who is also keeping Princess Leia as a slave girl. Now a master of the Force, Luke Skywalker rescues his friends, but he cannot become a true Jedi Knight until he wages his own crucial battle against Darth Vader, who has sworn to win Luke over to the dark side of the Force. rebel brother sister relationship emperor space battle matter of life and death Adventure Action Science Fiction Richard Marquand",1983
1491,30000000,21.538222,108.0,5.8,Rhona Mitra,"Doomsday A lethal virus spreads throughout the British isles,infecting millions and killing hundreds of thousands. To contain the threat, acting authorities brutally quarantine the country as it succumbs to fear and chaos. The quarantine is successful. Three decades later, the Reaper virus violently resurfaces in a major city. An elite group of specialists is urgently dispatched into the still-quarantined country to retrieve a cure by any means necessary. Shut off from the rest of the world, the unit must battle through a landscape that has become a waking nightmare. dystopia quarantine futuristic sword fight lethal virus Action Thriller Science Fiction Neil Marshall",2008
1492,32000000,33.923786,124.0,7.2,Kate Winslet,"The Reader The story of Michael Berg, a German lawyer who, as a teenager in the late 1950s, had an affair with an older woman, Hanna, who then disappeared only to resurface years later as one of the defendants in a war crimes trial stemming from her actions as a concentration camp guard late in the war. He alone realizes that Hanna is illiterate and may be concealing that fact at the expense of her freedom. germany war crimes trial female prisoner teenager Drama Romance Stephen Daldry",2008
1493,35000000,20.908494,98.0,5.3,Paul Rudd,"Wanderlust Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules. hippie commune nudism nude protest aftercreditsstinger Comedy David Wain",2012
1494,32000000,16.901954,97.0,6.4,Will Ferrell,"Elf When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic publisher. holiday elves santa claus looking for  birth parents romance Comedy Family Fantasy Jon Favreau",2003
1495,32000000,15.039407,123.0,6.2,John Travolta,"Phenomenon An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis. brain tumor telekinesis genius terminal illness doctor Drama Fantasy Romance Science Fiction Jon Turteltaub",1996
1496,33000000,13.655735,99.0,5.3,Jim Belushi,"Snow Dogs When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man. adoption log cabin alaska sled dogs Adventure Comedy Family Brian Levant",2002
1497,0,21.620317,101.0,6.7,Bill Murray,"Scrooged In this modern take on Charles Dickens' ""A Christmas Carol,"" Frank Cross (Bill Murray) is a wildly successful television executive whose cold ambition and curmudgeonly nature has driven away the love of his life, Claire Phillips (Karen Allen). But after firing a staff member, Eliot Loudermilk (Bobcat Goldthwait), on Christmas Eve, Frank is visited by a series of ghosts who give him a chance to re-evaluate his actions and right the wrongs of his past. holiday tv ratings comedy scrooge christmas carol Fantasy Comedy Drama Richard Donner",1988
1498,32000000,14.642055,92.0,5.6,Jack Black,"Nacho Libre Nacho Libre is loosely based on the story of Fray Tormenta (""Friar Storm""), aka Rev. Sergio Gutierrez Benitez, a real-life Mexican Catholic priest who had a 23-year career as a masked luchador. He competed in order to support the orphanage he directed. The producers are Jack Black, David Klawans, Julia Pistor, and Mike White. nun sport orphanage ordensbruder ringer Comedy Family Jared Hess",2006
1499,32500000,17.107065,125.0,6.5,Kristen Wiig,"Bridesmaids Annie’s life is a mess. But when she finds out her lifetime best friend is engaged, she simply must serve as Lillian’s maid of honor. Though lovelorn and broke, Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect, she’ll show Lillian and her bridesmaids just how far you’ll go for someone you love. competition jealousy fight materialism bridesmaid Comedy Romance Paul Feig",2011
1500,32000000,38.21708,107.0,6.3,James Franco,"This Is the End While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse. rape monster panic friendship celebrity Action Comedy Seth Rogen",2013
1501,29000000,14.993169,103.0,6.0,Patricia Arquette,"Stigmata A young woman with no strong religious beliefs, Frankie Paige begins having strange and violent experiences, showing signs of the wounds that Jesus received when crucified. When the Vatican gets word of Frankie's situation, a high-ranking cardinal requests that the Rev. Andrew Kiernan investigate her case. Soon Kiernan realizes that very sinister forces are at work, and tries to rescue Frankie from the entity that is plaguing her. vatican miracle christian faith clergyman Horror Rupert Wainwright",1999
1502,32000000,24.147269,129.0,7.0,Robert De,"Men of Honor Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor. diving u.s. navy Drama George Tillman, Jr.",2000
1503,32000000,18.47242,107.0,6.0,Chris Brown,"Takers A seasoned team of bank robbers, including Gordon Jennings (Idris Elba), John Rahway (Paul Walker), A.J. (Hayden Christensen), and brothers Jake (Michael Ealy) and Jesse Attica (Chris Brown) successfully complete their latest heist and lead a life of luxury while planning their next job. When Ghost (Tip T.I. Harris), a former member of their team, is released from prison he convinces the group to strike an armored car carrying $20 million. As the ""Takers"" carefully plot out their strategy and draw nearer to exacting the grand heist, a reckless police officer (Matt Dillon) inches closer to apprehending the criminals. heist Action Crime Drama Thriller John Luessenhop",2010
1504,35000000,18.84332,90.0,5.7,Robert De,"The Big Wedding To the amusement of their adult children and friends, long divorced couple Don and Ellie Griffin are once again forced to play the happy couple for the sake of their adopted son's wedding after his ultra conservative biological mother unexpectedly decides to fly halfway across the world to attend. With all of the wedding guests looking on, the Griffins are hilariously forced to confront their past, present and future - and hopefully avoid killing each other in the process. adoption marriage divorce birth mother Comedy Justin Zackham",2013
1505,32000000,15.901137,107.0,5.3,Martin Lawrence,"Big Mommas: Like Father, Like Son FBI agent Malcolm Turner and his 17-year-old son, Trent, go undercover at an all-girls performing arts school after Trent witnesses a murder. Posing as Big Momma and Charmaine, they must find the murderer before he finds them. undercover fbi sequel comedy disguise Crime Comedy Action John Whitesell",2011
1506,32000000,59.19888,93.0,7.1,Jake Gyllenhaal,"Source Code Decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, discovering he's involved in a mission to find the bomber of a Chicago commuter train. He learns he's part of a top-secret experimental program that enables him to experience the final 8 minutes of another person's life. Colter re-lives the train incident over and over again, gathering more clues each time. But can he discover who is responsible for the attack before the next one happens? bomb identity fantasy bomber suspicion Thriller Science Fiction Mystery Duncan Jones",2011
1507,32000000,14.48851,120.0,6.7,Ethan Hawke,"Alive The amazing, true story of a Uruguayan rugby team's plane that crashed in the middle of the Andes mountains, and their immense will to survive and pull through alive, forced to do anything and everything they could to stay alive on meager rations and through the freezing cold. rugby stranded survival plane wreck airplane crash Action Adventure Drama Thriller Frank Marshall",1993
1508,30000000,23.197408,101.0,6.3,Jim Carrey,"The Number 23 Walter Sparrow is an animal control officer that becomes obsessed with a mysterious book that seems to be based on his own life. As soon as he opens the book, he notices strange parallels between what he reads and what he's experienced. But now he's worried that a fictional murder might materialize. suicide based on novel hotel room obsession sadomasochism Thriller Drama Mystery Joel Schumacher",2007
1509,33000000,10.651202,105.0,6.7,Kyle Catlett,The Young and Prodigious T.S. Spivet A 12-year-old cartographer secretly leaves his family's ranch in Montana where he lives with his cowboy father and scientist mother and travels across the country on board a freight train to receive an award at the Smithsonian Institute. train cartographer Adventure Drama Family Jean-Pierre Jeunet,2013
1510,35000000,10.032626,113.0,5.6,Dan Aykroyd,"1941 It's been six days since the attack on Pearl Harbor. Panic grips California, supposedly the next target of the Japanese forces. Everywhere in California, people are suffering from war nerves. Chaos erupts all over the state. An Army Air Corps Captain, a civilian with a deranged sense of Nationalism, civilian defenders, and a Motor Pool crew all end up chasing a Japanese sub planning to attack LA. submarine california world war ii war ship pearl harbor Action Comedy Steven Spielberg",1979
1511,0,6.048743,106.0,6.3,Kurt Russell,Dreamer: Inspired By a True Story Ben Crane believes that a severely injured racehorse deserves another chance. He and his daughter Cale adopt the horse (in fact is a mare)and save it of being sacrificed by the owner. horse race horse kentucky sport based on true story Drama Family John Gatins,2005
1512,32000000,34.628738,96.0,6.9,Viggo Mortensen,A History of Violence An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner. robbery double life dual identity small town indiana Drama Thriller Crime David Cronenberg,2005
1513,32000000,47.5612,87.0,6.2,Jason Statham,"Transporter 2 Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers. martial arts war on drugs kidnapping bodyguard baby-snatching Action Thriller Crime Louis Leterrier",2005
1514,32000000,16.473354999999998,107.0,6.3,Sharon Stone,"The Quick and the Dead A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman. gunslinger revenge prairie shootout pistol Action Western Sam Raimi",1995
1515,28000000,6.201404,90.0,5.6,Pierce Brosnan,"Laws of Attraction Amidst a sea of litigation, two New York City divorce lawyers find love. irland rock star court case rivalry falling in love Action Comedy Romance Thriller Peter Howitt",2004
1516,32000000,15.560918,121.0,6.6,Nicolas Cage,"Bringing Out the Dead 48 hours in the life of a burnt-out paramedic. Once called Father Frank for his efforts to rescue lives, Frank sees the ghosts of those he failed to save around every turn. He has tried everything he can to get fired, calling in sick, delaying taking calls where he might have to face one more victim he couldn't help, yet cannot quit the job on his own. new york coma ambulance night life drug addiction Drama Martin Scorsese",1999
1517,32000000,25.799697,111.0,6.2,Jude Law,"Repo Men In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends agents to repossess the organs. Remy is one of the best agents in the business, but when he becomes the recipient of an artificial heart, he finds himself in the same dire straits as his many victims. dystopia evil corporation repo man aftercreditsstinger Action Science Fiction Thriller Crime Miguel Sapochnik",2010
1518,70000000,4.822033,90.0,4.0,Jason Behr,"Dragon Wars: D-War Based on the Korean legend, unknown creatures will return and devastate the planet. Reporter Ethan Kendrick is called in to investigate the matter... giant snake korea building dagger south korea Fantasy Drama Horror Action Thriller Shim Hyung-Rae",2007
1519,32000000,3.379454,110.0,5.4,Whoopi Goldberg,"Bogus Recently orphaned, a young boy is taken in by his godmother who is shocked to realize that she can see the boy's imaginary friend: a flamboyant, French magician named Bogus. circus magic aunt imaginary friend Fantasy Comedy Family Norman Jewison",1996
1520,30000000,26.9385,100.0,5.3,Steve Carell,"The Incredible Burt Wonderstone After breaking up with his longtime stage partner, a famous but jaded Vegas magician fights for relevance when a new, ""hip"" street magician appears on the scene. magic las vegas Comedy Don Scardino",2013
1521,32000000,4.0984440000000015,75.0,7.1,Scott Bakula,"Cats Don't Dance Danny, an ambitious singing/dancing cat, goes to Hollywood and overcomes several obstacles to fulfill his dream of becoming a movie star. dance musical furry talking animal anthropomorphism Animation Comedy Family Music Mark Dindal",1997
1522,0,4.901553,132.0,7.2,Hank Azaria,"Cradle Will Rock A true story of politics and art in the 1930s USA, centered around a leftist musical drama and attempts to stop its production. Drama Tim Robbins",1999
1523,32000000,5.347936,108.0,5.9,George Clooney,The Good German An American journalist played by George Clooney arrives in Berlin just after the end of World War Two. He becomes involved in a murder mystery surrounding a dead GI who washes up at a lakeside mansion during the Potsdam negotiations between the Allied powers. Soon his investigation connects with his search for his married pre-war German lover played by Cate Blanchett. berlin corruption nazi background love of one's life chauffeur War Crime Drama Mystery Romance Steven Soderbergh,2006
1524,32000000,4.120549,93.0,5.0,James Purefoy,George and the Dragon A knight returning from the Crusades takes on a dragon and becomes a legend. swordplay hero sword dragon Adventure Tom Reeve,2004
1525,31500000,49.973462,153.0,8.0,Martin Sheen,"Apocalypse Now At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory. guerrilla river vietnam vietcong cambodia Drama War Francis Ford Coppola",1979
1526,32000000,13.611544,102.0,6.0,Drew Barrymore,"Going the Distance Erin and Garrett are very much in love. When Erin moves to San Francisco to finish her journalism degree and Garrett stays behind in New York to work in the music industry, they gamely keep the romance alive with webcams and frequent-flyer miles. But just when it seems the lovers will soon be reunited, they each score a big break that could separate them for good. male nudity sex san francisco waitress newspaper Comedy Drama Romance Nanette Burstein",2010
1527,0,6.7752940000000015,137.0,6.9,Richard Dreyfuss,"Mr. Holland's Opus In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose. composer mentor deaf-mute musical apprentice Music Drama Family Stephen Herek",1995
1528,31500000,27.891012,113.0,5.7,Kevin Costner,"Criminal Bill Pope is a CIA agent on a mission in London tracking down a shadowy hacker nicknamed ""The Dutchman."" When he gets mysteriously ambushed and killed, an experimental procedure is used to transfer his memories into dangerous ex-convict Jericho Stewart. When he wakes up with the CIA agent's memories, his mission is to find The Dutchman and eliminate him before the hacker launches ICBM's and starts World War III. But complications soon arise and the mission turns personal. cia memory convict implant Action Ariel Vromen",2016
1529,31000000,13.864975,161.0,7.0,Meryl Streep,"Out of Africa Out of Africa tells the story of the life of Danish author Karen Blixen, who at the beginning of the 20th century moved to Africa to build a new life for herself. The film is based on the autobiographical novel by Karen Blixen from 1937. dancing train station denmark fire cemetery Drama Sydney Pollack",1985
1530,31000000,42.213765,138.0,6.5,Denzel Washington,"Flight Commercial airline pilot Whip Whitaker has a problem with drugs and alcohol, though so far he's managed to complete his flights safely. His luck runs out when a disastrous mechanical malfunction sends his plane hurtling toward the ground. Whip pulls off a miraculous crash-landing that results in only six lives lost. Shaken to the core, Whip vows to get sober -- but when the crash investigation exposes his addiction, he finds himself in an even worse situation. confession airplane f word hangover airplane crash Drama Robert Zemeckis",2012
1531,34000000,29.887404,126.0,5.9,Roger Moore,Moonraker During the transportation of a Space Shuttle a Boeing 747 crashes in the Atlantic Ocean yet when they go to look for the destroyed shuttle it is not there. James Bond investigates the missing mission space shuttle and soon learns that the shuttles owner Hugo Drax wants to kill all of mankind. venice mass murder space marine space suit marcus square Action Adventure Thriller Science Fiction Lewis Gilbert,1979
1532,30000000,74.417456,99.0,8.0,Ralph Fiennes,"The Grand Budapest Hotel The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century. hotel painting wartime gunfight theft Comedy Drama Wes Anderson",2014
1533,31000000,7.06762,101.0,6.4,Anthony Hopkins,Hearts in Atlantis A widowed mother and her son change when a mysterious stranger enters their lives. american football billard baseball bat richard nixon psychic power Drama Mystery Scott Hicks,2001
1534,31000000,15.895661,103.0,6.2,Jeff Daniels,"Arachnophobia A large spider from the jungles of South America is accidentally transported in a crate with a dead body to America where it mates with a local spider. Soon after, the residents of a small California town disappear as the result of spider bites from the deadly spider offspring. It's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks. small town outbreak exterminator spider bite creature feature Comedy Horror Frank Marshall",1990
1535,31000000,19.258041,118.0,7.0,Dennis Quaid,"Frequency When a rare phenomenon gives police officer John Sullivan the chance to speak to his father, 30 years in the past, he takes the opportunity to prevent his dad's tragic death.  After his actions inadvertently give rise to a series of brutal murders he and his father must find a way to fix the consequences of altering time. new york mother detective baseball radio Crime Drama Science Fiction Thriller Gregory Hoblit",2000
1536,31000000,47.753598,99.0,6.2,Ed Helms,"Vacation Hoping to bring his family closer together and to recreate his childhood vacation for his own kids, a grown up Rusty Griswold takes his wife and their two sons on a cross-country road trip to the coolest theme park in America, Walley World. Needless to say, things don't go quite as planned. route 66 grand canyon cow vacation road trip Comedy John Francis Daley",2015
1537,30250000,15.585138,105.0,6.4,John Travolta,"Get Shorty Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different. gambling miami based on novel job murder Comedy Thriller Crime Barry Sonnenfeld",1995
1538,45000000,32.217425,113.0,6.9,Catherine Zeta-Jones,Chicago Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago. chicago based on stage musical prison matron jazz age nude man murdered Action Comedy Crime Drama Music Rob Marshall,2002
1539,34200000,34.868590000000005,93.0,6.1,Adam Sandler,"Big Daddy A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father. bachelor law vomit syracuse university law school Comedy Drama Dennis Dugan",1999
1540,30000000,36.432598,108.0,6.0,Jason Biggs,"American Pie 2 The whole gang are back and as close as ever. They decide to get even closer by spending the summer together at a beach house. They decide to hold the biggest party ever to be seen, even if the preparation doesn't always go to plan. Especially when Stifler, Finch and Jim become more close to each other than they ever want to be and when Jim mistakes super glue for lubricant... sex party summer beach house group of friends Comedy Romance J.B. Rogers",2001
1541,30000000,73.640445,81.0,7.7,Tom Hanks,"Toy Story Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences. jealousy toy boy friendship friends Animation Comedy Family John Lasseter",1995
1542,30000000,49.526736,116.0,6.8,Keanu Reeves,"Speed Los Angeles SWAT cop Jack Traven is up against bomb expert Howard Payne, who's after major ransom money. First it's a rigged elevator in a very tall building. Then it's a rigged bus--if it slows, it will blow, bad enough any day, but a nightmare in LA traffic. And that's still not the end. bomb airport bus bus ride highway Action Adventure Crime Jan de Bont",1994
1543,30000000,26.780961,104.0,7.0,Rachel McAdams,"The Vow Happy young married couple Paige and Leo are, well, happy. Then a car accident puts Paige into a life-threatening coma. Upon awakening she has lost the previous five years of memories, including those of her beloved Leo, her wedding, a confusing relationship with her parents, or the ending of her relationship with her ex-fiance. Despite these complications, Leo endeavors to win her heart again and rebuild their marriage. coma amnesia based on true story memory loss car accident Drama Romance Michael Sucsy",2012
1544,31000000,6.487344,105.0,6.0,Harrison Ford,"Extraordinary Measures Working-class father John Crowley is finally on the fast track to corporate success when his two young children, Megan and Patrick, are diagnosed with Pompe disease - a condition that prevents the body from breaking down sugar. With the support of his wife, Aileen, John ditches his career and teams with unconventional specialist Dr. Robert Stonehill to found a bio-tech company and develop a cure in time to save the lives of Megan and Patrick. As Dr. Stonehill works tirelessly to prove the theories that made him the black sheep of the medical community, a powerful bond is forged between the two unlikely allies. Drama Tom Vaughan",2010
1545,30000000,25.996219,113.0,7.4,Denzel Washington,"Remember the Titans After leading his football team to 15 winning seasons, coach Bill Yoast is demoted and replaced by Herman Boone – tough, opinionated and as different from the beloved Yoast as he could be. The two men learn to overcome their differences and turn a group of hostile young men into true champions. ku klux klan american football trainer sports team race politics Drama Boaz Yakin",2000
1546,30000000,46.212155,134.0,7.2,Alec Baldwin,"The Hunt for Red October A new Soviet nuclear missile sub (a Boomer) heading out on her maiden voyage that is being tracked by a Los Angeles class American submarine suddenly goes silent and ""disappears"". This focuses the attention of both U.S. Intelligence and the U.S. Navy on the Russian Sub Commander .  When it is determined that the silent Soviet Boomer may be headed for American coastal waters panic ensues. A CIA analyst, Jack Ryan,  convinces the brass that the Boomer's commander may intend something other than a nuclear first strike in mind. A perilous and tense cat-and-mouse game ensues. submarine cold war russian defection jack ryan Action Adventure Thriller John McTiernan",1990
1547,25000000,32.105328,132.0,7.2,Forest Whitaker,"The Butler A look at the life of Cecil Gaines who served eight presidents as the White House's head butler from 1952 to 1986, and had a unique front-row seat as political and racial history was made. white house butler biography civil rights Drama Lee Daniels",2013
1548,20000000,41.156217,92.0,6.2,Vince Vaughn,"DodgeBall: A True Underdog Story When megalomaniacal White Goodman, the owner of a trendy, high-end fitness center, makes a move to take over the struggling local gym run by happy-go-lucky Pete La Fleur, there's only one way for La Fleur to fight back: dodgeball. Aided by a dodgeball guru and Goodman's attorney, La Fleur and his rag-tag team of underdogs launch a knock-down, drag-out battle in which the winner takes all. underdog competition bank bar ball Comedy Rawson Marshall Thurber",2004
1549,30000000,37.179547,99.0,6.7,Ra\u00fal Juli\u00e1,"The Addams Family Uncle Fester has been missing for 25 years. An evil doctor finds out and introduces a fake Fester in an attempt to get the Adams Family's money. The youngest daughter has some doubts about the new uncle Fester, but the fake uncle adapts very well to the strange family. Can the doctor carry out her evil plans and take over the Adams Family's fortune? dead wish vampire black humor uncle eccentric Horror Comedy Fantasy Barry Sonnenfeld",1991
1550,30000000,34.391791999999995,90.0,6.1,Jim Carrey,"Ace Ventura: When Nature Calls Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war. africa indigenous human animal relationship bat Crime Comedy Adventure Steve Oedekerk",1995
1551,37000000,40.176265,115.0,6.5,Anne Hathaway,"The Princess Diaries A socially awkward but very bright 15-year-old girl being raised by a single mom discovers that she is the princess of a small European country because of the recent death of her long-absent father, who, unknown to her, was the crown prince of Genovia. She must make a choice between continuing the life of a San Francisco teen or stepping up to the throne. heir to the throne grandmother granddaughter relationship high school princess royalty Comedy Family Romance Garry Marshall",2001
1552,26000000,10.704596,102.0,6.5,Goldie Hawn,"The First Wives Club After years of helping their hubbies climb the ladder of success, three mid-life Manhattanites have been dumped for a newer, curvier model. But the trio is determined to turn their pain into gain. They come up with a cleverly devious plan to hit their exes where it really hurts - in the wallet! divorce divorced woman reunited friends Comedy Hugh Wilson",1996
1553,33000000,79.579532,127.0,8.1,Brad Pitt,"Se7en Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case. self-fulfilling prophecy detective s.w.a.t. drug dealer evisceration Crime Mystery Thriller David Fincher",1995
1554,30000000,63.13678,112.0,7.3,Sharlto Copley,"District 9 Aliens land in South Africa and, with their ship totally disabled,  have no way home. Years later, after living in a slum and wearing out their welcome the 'Non-Humans' are being moved to a new tent city overseen by Multi-National United (MNU). slum street gang mutation south africa johannesburg Science Fiction Neill Blomkamp",2009
1555,30000000,27.870755,87.0,6.7,Tom Kenny,"The SpongeBob SquarePants Movie There's trouble brewing in Bikini Bottom. Someone has stolen King Neptune's crown, and it looks like Mr. Krab, SpongeBob's boss, is the culprit. Though he's just been passed over for the promotion of his dreams, SpongeBob stands by his boss, and along with his best pal Patrick, sets out on a treacherous mission to Shell City to reclaim the crown and save Mr. Krab's life. ocean sea star water freeze Animation Comedy Family Stephen Hillenburg",2004
1556,25000000,31.242999,138.0,7.6,Sean Penn,"Mystic River A story about friendship and loyalty, guilt and vengeance, and the fateful affect the past has on the present. child abuse sexual abuse loss of child repayment suppressed past Thriller Crime Drama Mystery Clint Eastwood",2003
1557,30000000,70.456012,132.0,7.7,Clint Eastwood,"Million Dollar Baby Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her. transporter suicide attempt strong woman boxer dying and death Drama Clint Eastwood",2004
1558,80000000,29.415229,103.0,6.4,Robert De,"Analyze This Countless wiseguy films are spoofed in this film that centers on the neuroses and angst of a powerful Mafia racketeer who suffers from panic attacks. When Paul Vitti needs help dealing with his role in the ""family,"" unlucky shrink Dr. Ben Sobel is given just days to resolve Vitti's emotional crisis and turn him into a happy, well-adjusted gangster. new york mafia boss wedding psychiatrist Comedy Crime Harold Ramis",1999
